file,band_lo_hz,band_hi_hz,band_label,band_tag,rt60_s,r2,method,quality,capped,mode
0.3.wav,22.273863607376246,44.5477272147525,,22–45,0.20796227310052218,0.968684429911705,REG,OK,False,ML Test · Reference Octaves
0.3.wav,44.54772721475249,89.095454429505,,45–89,0.17867588532718928,0.9360023903294994,REG,OK,False,ML Test · Reference Octaves
0.3.wav,88.38834764831843,176.7766952966369,,88–177,0.1910019860287439,0.9740996295257147,REG,OK,False,ML Test · Reference Octaves
0.3.wav,176.77669529663686,353.5533905932738,,177–354,0.18062143295805594,0.8849124949417921,REG,CHECK,False,ML Test · Reference Octaves
0.3.wav,353.5533905932737,707.1067811865476,,354–707,0.2753601230044707,0.8878192581870971,REG,CHECK,False,ML Test · Reference Octaves
0.3.wav,707.1067811865474,1414.213562373095,,707–1k,0.2799583022055565,0.9170975634060242,REG,OK,False,ML Test · Reference Octaves
0.3.wav,1414.2135623730949,2828.42712474619,,1k–2k,0.21090803861012705,0.9277736231599176,REG,OK,False,ML Test · Reference Octaves
0.3.wav,2828.4271247461897,5656.85424949238,,2k–5k,0.22512041470092586,0.9235761246717212,REG,OK,False,ML Test · Reference Octaves
0.3.wav,5656.8542494923795,11313.70849898476,,5k–11k,0.15831000893142802,0.9671996001135083,REG,OK,False,ML Test · Reference Octaves
0.3.wav,11313.708498984759,20947.5,,11k–20k,0.11458265140044967,0.9958514398010047,REG,OK,False,ML Test · Reference Octaves
0.6.wav,22.273863607376246,44.5477272147525,,22–45,0.22585724333845347,0.9558444714973924,REG,OK,False,ML Test · Reference Octaves
0.6.wav,44.54772721475249,89.095454429505,,45–89,0.5865631153658372,0.8906065728353082,REG,CHECK,False,ML Test · Reference Octaves
0.6.wav,88.38834764831843,176.7766952966369,,88–177,0.7477084429272615,0.8674003971768167,REG,CHECK,False,ML Test · Reference Octaves
0.6.wav,176.77669529663686,353.5533905932738,,177–354,0.648145095521076,0.9409296651846185,REG,OK,False,ML Test · Reference Octaves
0.6.wav,353.5533905932737,707.1067811865476,,354–707,0.6038805454723879,0.9663402821372636,REG,OK,False,ML Test · Reference Octaves
0.6.wav,707.1067811865474,1414.213562373095,,707–1k,0.604642387008045,0.9756298849910964,REG,OK,False,ML Test · Reference Octaves
0.6.wav,1414.2135623730949,2828.42712474619,,1k–2k,0.6131867679446551,0.9635487259508325,REG,OK,False,ML Test · Reference Octaves
0.6.wav,2828.4271247461897,5656.85424949238,,2k–5k,0.5825540688607002,0.9508326652228034,REG,OK,False,ML Test · Reference Octaves
0.6.wav,5656.8542494923795,11313.70849898476,,5k–11k,0.5424212288327928,0.9134531721577869,REG,OK,False,ML Test · Reference Octaves
0.6.wav,11313.708498984759,20947.5,,11k–20k,0.40372672965158335,0.8099773175091538,REG,CHECK,False,ML Test · Reference Octaves
0.wav,22.273863607376246,44.5477272147525,,22–45,0.18070133390411716,0.9629742351310046,REG,OK,False,ML Test · Reference Octaves
0.wav,44.54772721475249,89.095454429505,,45–89,0.09047887230673099,0.9696453818831697,REG,OK,False,ML Test · Reference Octaves
0.wav,88.38834764831843,176.7766952966369,,88–177,0.11008515306652326,0.9611268557133694,REG,OK,False,ML Test · Reference Octaves
0.wav,176.77669529663686,353.5533905932738,,177–354,0.12059726081481675,0.9433798196343683,REG,OK,False,ML Test · Reference Octaves
0.wav,353.5533905932737,707.1067811865476,,354–707,0.09818819910040867,0.9924696890013582,REG,OK,False,ML Test · Reference Octaves
0.wav,707.1067811865474,1414.213562373095,,707–1k,0.10711507912671141,0.9882474092658271,REG,OK,False,ML Test · Reference Octaves
0.wav,1414.2135623730949,2828.42712474619,,1k–2k,0.11549070466044033,0.9884662879255651,REG,OK,False,ML Test · Reference Octaves
0.wav,2828.4271247461897,5656.85424949238,,2k–5k,0.10375201769613898,0.9952620004476775,REG,OK,False,ML Test · Reference Octaves
0.wav,5656.8542494923795,11313.70849898476,,5k–11k,0.1120978709869926,0.9950590462379916,REG,OK,False,ML Test · Reference Octaves
0.wav,11313.708498984759,20947.5,,11k–20k,0.10946945306068405,0.9982422234648041,REG,OK,False,ML Test · Reference Octaves
1.2.wav,22.273863607376246,44.5477272147525,,22–45,0.5136470506221198,0.8921068356685599,REG,CHECK,False,ML Test · Reference Octaves
1.2.wav,44.54772721475249,89.095454429505,,45–89,1.0306656448797136,0.927603304371853,REG,OK,False,ML Test · Reference Octaves
1.2.wav,88.38834764831843,176.7766952966369,,88–177,1.114750494224742,0.9769200360852254,REG,OK,False,ML Test · Reference Octaves
1.2.wav,176.77669529663686,353.5533905932738,,177–354,1.1228400673220054,0.9894954494467684,REG,OK,False,ML Test · Reference Octaves
1.2.wav,353.5533905932737,707.1067811865476,,354–707,1.1959020500270061,0.994625906662787,REG,OK,False,ML Test · Reference Octaves
1.2.wav,707.1067811865474,1414.213562373095,,707–1k,1.160416408463729,0.9929697773763838,REG,OK,False,ML Test · Reference Octaves
1.2.wav,1414.2135623730949,2828.42712474619,,1k–2k,1.1557645123444198,0.9960992528971193,REG,OK,False,ML Test · Reference Octaves
1.2.wav,2828.4271247461897,5656.85424949238,,2k–5k,1.127594758066958,0.9947927747771016,REG,OK,False,ML Test · Reference Octaves
1.2.wav,5656.8542494923795,11313.70849898476,,5k–11k,1.130713909897492,0.9871616206865942,REG,OK,False,ML Test · Reference Octaves
1.2.wav,11313.708498984759,20947.5,,11k–20k,0.992494360975041,0.9114611770347263,REG,OK,False,ML Test · Reference Octaves
2.4.wav,22.273863607376246,44.5477272147525,,22–45,2.098452255274336,0.9632035216107642,REG,OK,False,ML Test · Reference Octaves
2.4.wav,44.54772721475249,89.095454429505,,45–89,2.12204661047187,0.9945425144937039,REG,OK,False,ML Test · Reference Octaves
2.4.wav,88.38834764831843,176.7766952966369,,88–177,2.0858251874111566,0.994745206211022,REG,OK,False,ML Test · Reference Octaves
2.4.wav,176.77669529663686,353.5533905932738,,177–354,2.0907205188132783,0.9975722863374287,REG,OK,False,ML Test · Reference Octaves
2.4.wav,353.5533905932737,707.1067811865476,,354–707,2.2521687494093525,0.99826805602169,REG,OK,False,ML Test · Reference Octaves
2.4.wav,707.1067811865474,1414.213562373095,,707–1k,2.2276450631967184,0.9978835212428319,REG,OK,False,ML Test · Reference Octaves
2.4.wav,1414.2135623730949,2828.42712474619,,1k–2k,2.2351090206727893,0.9986079530631851,REG,OK,False,ML Test · Reference Octaves
2.4.wav,2828.4271247461897,5656.85424949238,,2k–5k,2.2252493948189755,0.9991660574615961,REG,OK,False,ML Test · Reference Octaves
2.4.wav,5656.8542494923795,11313.70849898476,,5k–11k,2.1634280819564156,0.9987096822689366,REG,OK,False,ML Test · Reference Octaves
2.4.wav,11313.708498984759,20947.5,,11k–20k,2.0670445122784424,0.9841812681694811,REG,OK,False,ML Test · Reference Octaves
Bathroom clap.m4a,22.273863607376246,44.5477272147525,,22–45,3.4831354166666664,0.27286259323182394,REG,CHECK,True,ML Test · Reference Octaves
Bathroom clap.m4a,44.54772721475249,89.095454429505,,45–89,1.003023370999941,0.8811352515945006,REG,CHECK,False,ML Test · Reference Octaves
Bathroom clap.m4a,88.38834764831843,176.7766952966369,,88–177,3.48566875,0.31337353498498915,REG,CHECK,True,ML Test · Reference Octaves
Bathroom clap.m4a,176.77669529663686,353.5533905932738,,177–354,3.402227083333333,0.45446845355041127,REG,CHECK,True,ML Test · Reference Octaves
Bathroom clap.m4a,353.5533905932737,707.1067811865476,,354–707,1.4064971243311066,0.9953974446614896,REG,OK,False,ML Test · Reference Octaves
Bathroom clap.m4a,707.1067811865474,1414.213562373095,,707–1k,1.4230011046516609,0.9980853232863269,REG,OK,False,ML Test · Reference Octaves
Bathroom clap.m4a,1414.2135623730949,2828.42712474619,,1k–2k,1.0902921385186035,0.9993470037952535,REG,OK,False,ML Test · Reference Octaves
Bathroom clap.m4a,2828.4271247461897,5656.85424949238,,2k–5k,1.0018285093827595,0.9969183152773388,REG,OK,False,ML Test · Reference Octaves
Bathroom clap.m4a,5656.8542494923795,11313.70849898476,,5k–11k,3.4997604166666667,0.34283602091311194,REG,CHECK,True,ML Test · Reference Octaves
Bathroom clap.m4a,11313.708498984759,22627.41699796952,,11k–22k,3.500215625,0.34671882373535656,REG,CHECK,True,ML Test · Reference Octaves
Bathroom lol.m4a,22.273863607376246,44.5477272147525,,22–45,3.902877083333333,0.7063727949161749,REG,CHECK,True,ML Test · Reference Octaves
